User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
MargarethBolso1,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Marcosde84,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
bonnieximena,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
MailsonBraga3,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Cesar63944030,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
adrianabdcamara,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
I_Gospel,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
100_direita,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
TartariDa,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Alexsan22643623,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
abmsonia,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
wbrenneisen,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
