Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
Isaura07191422,Isaura07191422,,0,1,1,0,1,1,1,1,1,0,46,0,2897,0,0,0.00009
anndrebelem,anndrebelem,,0,1,1,0,2,2,1,1,1,0,46,0,2898,0,0,0.00009
Rosanimarlifern,Rosanimarlifern,,0,1,1,0,2,2,1,1,1,0,46,0,2899,0,0,0.00009
ildete_dos,ildete_dos,,0,1,1,0,2,2,1,1,1,0,46,0,2900,0,0,0.00009
joaoarthurbmaia,joaoarthurbmaia,,0,1,1,0,2,2,1,1,1,0,46,0,2901,0,0,0.00009
sevla2011,sevla2011,,0,1,1,0,1,1,1,1,1,0,46,0,2902,0,0,0.00009
welington2806,welington2806,,0,1,1,0,1,1,1,1,1,0,46,0,2903,0,0,0.00009
wernerncoelho,wernerncoelho,,0,1,1,0,2,2,1,1,1,0,46,0,2904,0,0,0.00009
Fcerb1,Fcerb1,,0,1,1,0,1,1,1,1,1,0,46,0,2905,0,0,0.00009
eon7love,eon7love,,0,1,1,0,1,1,1,1,1,0,46,0,2906,0,0,0.00009
Maclia1,Maclia1,,0,1,1,0,2,2,1,1,1,0,46,0,2907,0,0,0.00009
Pinahertz,Pinahertz,,0,1,1,0,1,1,1,1,1,0,46,0,2908,0,0,0.00009
LuluzinhaReaca,LuluzinhaReaca,,0,1,1,0,2,2,1,1,1,0,46,0,2909,0,0,0.00009
barth_lisia,barth_lisia,,0,1,1,0,1,1,1,1,1,0,46,0,2910,0,0,0.00009
fsspaladum,fsspaladum,,0,1,1,0,1,1,1,1,1,0,73,0,2911,0,0,0.00009
Wilson19072874,Wilson19072874,,0,1,1,0,1,1,1,1,1,0,46,0,2912,0,0,0.00009
Bolsotrooper38,Bolsotrooper38,,0,1,1,0,1,1,1,1,1,0,46,0,2913,0,0,0.00009
JujudeBH,JujudeBH,,0,1,1,0,2,2,1,1,1,0,46,0,2914,0,0,0.00009
VivaldoJr2012,VivaldoJr2012,,0,1,1,0,1,1,1,1,1,0,46,0,2915,0,0,0.00009
Marco71387471,Marco71387471,,0,1,1,0,1,1,1,1,1,0,46,0,2916,0,0,0.00009
Antoniobaia6,Antoniobaia6,,0,1,1,0,1,1,1,1,1,0,46,0,2917,0,0,0.00009
CleberWCardoso1,CleberWCardoso1,,0,1,1,0,1,1,1,1,1,0,46,0,2918,0,0,0.00009
CunhaJacc,CunhaJacc,,0,1,1,0,1,1,1,1,1,0,46,0,2919,0,0,0.00009
Hemmer1111,Hemmer1111,,0,1,1,0,1,1,1,1,1,0,46,0,2920,0,0,0.00009
RenataUmiji,RenataUmiji,,0,1,1,0,1,1,1,1,1,0,46,0,2921,0,0,0.00009
analuciaalvim1,analuciaalvim1,,0,1,1,0,1,1,1,1,1,0,46,0,2922,0,0,0.00009
cleidisonba2004,cleidisonba2004,,0,1,1,0,1,1,1,1,1,0,46,0,2923,0,0,0.00009
rogeriomdb,rogeriomdb,,0,1,1,0,1,1,1,1,1,0,46,0,2924,0,0,0.00009
