User,Location,Tweeter,Mentions
MarcoAntnioMat8,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
Zeleo81,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
ThiagoeGildenys,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
lhpraun,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
BrasileiriaMAXI,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
ligegodoy,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
penelope137,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
emilsonramos,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
MarcPvh,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
mallakias,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
Myra51916598,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
DebSilv70481939,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
vantbg88,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
davidvix50,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
CarlaoCe,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
kessergreg,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
TamandareC,,"b'RT @oswaldojor: URGENTE: prova da fraude nas eleies 2020. O ""bug"" no aplicativo do TSE mostra que a candidata Paula Milani apoiada por Bo'",oswaldojor
