User,Location,Tweeter,Mentions
DexteraDomini1,,b'@ironbonoro @LULAHONESTO38 @nagire_04 @Bozonazisincer0 @BReacionary @Marcio32098359 @mor_eo @OZONE42798933 @PPReacaFla2 @Carol_rozz @AcidoReturn @JooFranciscoP10 @Terras_Brasil @CONSERVACETICO @registeago @A_Bem_d_Verdade @carlagcc1967 @EllenR_Pfeffer @elisa_kathia @curimim @EduardoPB2020_ @Michell37819657 @CRISF38 @MarcusVcomenta @25graciella @Zepykenu @jannafabrini @LulaNaziSimZero @lukar_lima @RenataMotta2210 @JooCesarMatos1 @bonorominion @dossieantifa @veiamagalhaess @JussaraCarneiro @Pitanga91557761 @PeaceLoveButte1 @JourneyToJusti1 @EduardoSEP_1914 @Thanato80012698 @TulioRicard @DuddaSalvador2 @agda_campanha @dgomes_br @PPReacaReborn @coxinhabrasil79 @Terminatorgod38 @Cris62070270 @heraldo10743939 Laranja tb\nVou o laranjal do boulos?',ironbonoro
aleextavaress,,"b'@brunbazzo @allanldsantos Mas temos as denuncias Marcius Melhem, o laranjal do Boulos alguma notinha de sobrevivncia? \nEnto @brunbazzo corremos atrs disso do criminoso, ento cabe a voc, correr atrs do que essa mulher fez! \nVcs gosta de um sistema autoritrio comunga n? Mas curte um bom capitalismo.'",brunbazzo
Victorkazoo,,"b'@PSDBoficial Boulos lembra bolos. Bolos lembra bolos de laranja, bolo de laranja lembra laranjal, laranjal lembra LARANJAL DO BOULOS!'",PSDBoficial
GrippLuzia,,b'@lolaescreva E o laranjal do Boulos no vai ser investigado e divulgado?',lolaescreva
minceauras,,"b'@Luiz_A_C_Costa No existe laranjal do Boulos, s na sua cabea.'",Luiz_A_C_Costa
another_brick_7,,"b""@aguedescartoon Interessante que agora no se fala mais no tal 'laranjal do Boulos'.... sintomtico""",aguedescartoon
Nissylopes,,"b'@GuilhermeBoulos E o teu laranjal, Boulos? Kkk'",GuilhermeBoulos
PertileAntonin1,,b'@AraciPatriota @AngelaMGonalve1 Esse @Boulos alm de Invasor    dono de um LARANJAL IMENSO.',AraciPatriota
MatheusSouzaFi,,b'@Luiz_A_C_Costa @JornalOGlobo O Laranjal j foi provado como uma mentira criada para prejudicar o Boulos.',Luiz_A_C_Costa
Israel48092155,,"b'@kimpaim Kim bom dia.\nEu no sei vc , mais estive vendo as falas do ministro fux , e nas entrelinhas ele disse algo que se eu entendi , disse do Oswaldo Eustquio ter entregue o Laranjal do Boulos e o psl , porm a mdia est distorcendo a conversa.'",kimpaim
DanielJock,,b'RT @oswaldojor: Bomba: jornalista desvenda a trama srdida no PSL e o laranjal de Boulos (veja o vdeo) - ASCOM OE https://t.co/17GSaf1CEJ',oswaldojor
MarvinGaspa,,b'A denncia O laranjal de Boulos apontava que o PSOL utilizaria empresas fantasmas para lavar dinheiro na corrida eleitoral em SP.\n\nO jornalista afirmou que candidato do PSOL lavou dinheiro por meio da contratao de empresas falsas. ',
MarvinGaspa,,"b'Ainda conforme a assessoria, a motivao foi as denncias da suposta trama do golpe de Luciano Bivar (PSL) e o laranjal de Guilherme Boulos.\n\nH poucos dias, Eustquio denunciou o candidato  prefeitura de So Paulo, Guilherme Boulos, atravs de um vdeo em seu canal no YouTube.'",
Luiz_A_C_Costa,,b'@JornalOGlobo Como andam as investigaes do Laranjal do Boulos?',JornalOGlobo
bezerradasilv15,,b'RT @mjligeiro: @STF_oficial Isto vale pro @oswaldojor ??? Ele  jornalista investigativo... descobriu o laranjal do boulos...',mjligeiro
JavierE78234335,,"b'Chora Esquerdalhas!\nPor CRIME ELEITORAL Boulos e Covas deveriam estar presos, um mamando no outro.\nOu se esqueceram do LARANJAL DO BOULOS?\nhttps://t.co/LdQjPGXFjz'",
AyshaGomes3,,"b'@OGloboPolitica @brunocovas @GuilhermeBoulos Por conta disso, So Paulo, que j fez a de colocar esses dois lixos nas eleies, vai fazer o que? Ficar com dozinha de Boulos de Laranjal e votar nele? \n\nA pior merda o povo de So Paulo j fez. Agora eles que lutem.'",OGloboPolitica
Robo000001,,b'Quando falam de CRIME ELEITORAL eu lembro disso laranjal do boulos kk https://t.co/yIhQNgt6E3',
fconetho,,b'RT @mjligeiro: @STF_oficial Isto vale pro @oswaldojor ??? Ele  jornalista investigativo... descobriu o laranjal do boulos...',mjligeiro
natymarques16,,b'RT @mjligeiro: @STF_oficial Isto vale pro @oswaldojor ??? Ele  jornalista investigativo... descobriu o laranjal do boulos...',mjligeiro
mjligeiro,,b'@STF_oficial Isto vale pro @oswaldojor ??? Ele  jornalista investigativo... descobriu o laranjal do boulos...',STF_oficial
ALEXDEMORAES8,,b'@erikakokay Boulos lembra laranjal kkkkkkk',erikakokay
FERNANDOFGOMES1,,b'@UOLNoticias Faz uma matria com o laranjal do Boulos tambm',UOLNoticias
D4yson,,b'O laranjal de boulos no era ? https://t.co/Pjxasevkah',
AyshaGomes3,,"b'@DouglasBoss21 @SigaGazetaBR Imagina, l em So Paulo, Boulos de Laranjal ganhando a eleio... Imaginou? \nPois vai ser isso que vai acontecer '",DouglasBoss21
newordertemple,,"b'RT @Madruga004: Segundo turno, farei assim, entre dois vermes.\n\nGerente deCemitrio, Covas.\nGerente do Laranjal, Boulos.\n\nPrefiro essa op'",Madruga004
EderGiusti,,b'@GuilhermeBoulos E sobre o laranjal do Boulos @TSEjusbr  @TRESPjusbr  quais providncias tomaro?',GuilhermeBoulos
Martinskleber83,,b'@MarceloFreixo Laranjal do Boulos nada ne',MarceloFreixo
sol_7lessa,,b'Laranjal do Boulos  https://t.co/ORqcEVu0ZF',
AlmeidaCarvalh8,,b'@GuilhermeBoulos Triste situao de so Paulo ter dois incompetentes pra escolher. \nLaranjal do boulos.',GuilhermeBoulos
Marcelo_MCC,,"b'@GuilhermeBoulos Boulos, ser que haviam laranjas as nessas cestas ou s vc que tem um laranjal? S uma dvida! '",GuilhermeBoulos
DoLocadora,,"b'@Cybermage13 @GuilhermeBoulos https://t.co/SVnO5AC9AH ASCOM LDF\n\nAh, e no esto comendo no. Receberam essa cesta pra assim que acabar a eleio o PSDB voltar a ignorar, do modo que o PSDB se importa com a periferia  capaz que as pessoas precisem usar essa cesta bsica pra sobreviver pelos prximos 4 anos.'",Cybermage13
Rlsqra,,"b'@Rconstantino Esto desesperados para transformar o invasor de terras do Boulos em prefeito de So Paulo. Esto de olho nos R$ que circulam na cidade!\nO LARANJAL quer crescer, quer ser alimentado pelos R$ dos impostos da cidade de So Paulo.'",Rconstantino
GabrielDrebtch,,"b'@Kaio1908 @tahhmis @valoreconomico Esto no mundo da imaginao do blogueiro de alta performance, Oswaldo Eustquio, que por sinal t preso https://t.co/ioSOXnhH2Z'",Kaio1908
wajnrajter,,"b'Almoo e lanche de Domingo.\n\nPara almoo ""MUELA"" com batatas.\n\nPara lanche ""BOULOS DE LARANJAL""'",
matias_tailor,,"b'Este Boulos Fecal no So Paulo, este vagabundo do PSOL no tch, tem que investigar o laranjal do Boulos. \n#LaranjalDoBoulos  https://t.co/bLPVk0jRz4'",
AraujoCrisitian,,b'@valoreconomico Empresrio e investidores = Investigados no escndalo da Odebrecht e Lava Jato.\n\nEsse  o Laranjal do Boulos.',valoreconomico
Matheus63764714,,b'@JoseQuatro2 Laranjal Do Boulos\n\n#LaranjalDoBoulos \n#BoulosNunca\n#BoulosNo https://t.co/b5U8Y45qQD',JoseQuatro2
AyshaGomes3,,"b'@IronicaLaurinha @DanicMendonca Tipo as de So Paulo que colocou Boulos de Laranjal e Covas, o soldador de portas nas urnas? https://t.co/tzxUEvy8TO'",IronicaLaurinha
SuperBrasil3,,"b'""Cara de pau"", mais conhecida como ""amante ou coxa"" na lista da Odebrecht afirma que ""laranjal"" trar ""amor"" a SP https://t.co/y7e48lmHxo'",
rwuerz,,b'@carolminato @TSEjusbr @GadoDecider Vc ja lambeu o saco so boulos fecal e foi trabalhar no laranjal dele?',carolminato
nunolvares,,"b'@neto22429181 @JovemPanNews Mano, eu ouo essa de milicia e laranjal desde 2016, s mostra o quanto o cara  honesto. 4 anos se passaram sendo 2 como presidente e a nica coisa que vocs tem  isso. Boulos j recebemdo bilhao de construtora da lava jato e nem eleito foi hahahahahahA'",neto22429181
oarrotonews,,"b'Deputados do PSOL homenageiam ""laranjal do Boulos"".. #Boulos50 https://t.co/sywm5vDc6z'",
rafaSlug,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
danielFairen,,"b'RT @2llyzmendonca: @danielFairen Infelizmente vivemos no pas da impunidade.\nHoje temos um ( jornalista Oswaldo Eustquio ), preso poltico'",2llyzmendonca
2llyzmendonca,,"b'@danielFairen Infelizmente vivemos no pas da impunidade.\nHoje temos um ( jornalista Oswaldo Eustquio ), preso poltico por mostrar VERDADES do LARANJAL desse mesmo BOULOS  a justia at agora no fez nada....uma vergonha! https://t.co/TYG0ioK8PO'",danielFairen
monteironegoci1,,"b'O que esperar desse tipo de gente? Mas, isso no explica o Laranjal, Boulos! https://t.co/D9oORgzjmv'",
